S.No,Geographical Indications,Goods,State,State 2,State 3,State 4,State 5,State 6,State 7
288,Udayagiri Wooden Cutlery,Handicrafts,Andhra Pradesh,,,,,,
289,Bardhaman Sitabhog,Food Stuff,West Bengal,,,,,,
290,Bardhaman Mihidana,Food Stuff,West Bengal,,,,,,
291,Sikki Grass Products of Bihar,Handicrafts,Bihar,,,,,,
292,Sujini Embroidery Work of Bihar,Handicrafts,Bihar,,,,,,
293,Blue Pottery of Jaipur,Handicrafts,Rajasthan,,,,,,
294,Kathputlis of Rajasthan,Handicrafts,Rajasthan,,,,,,
295,Banaganapalle Mangoes,Agricultural,Telangana,Andhra Pradesh,,,,,
296,Pochampally Ikat,Handicrafts,Telangana,,,,,,
297,Gobindobhog Rice,Agricultural,West Bengal,,,,,,
298,Durgi Stone Carvings,Handicrafts,Andhra Pradesh,,,,,,
299,Etikoppaka Toys,Handicrafts,Andhra Pradesh,,,,,,
300,Tulapanji Rice,Agricultural,West Bengal,,,,,,
301,Chakshesang Shawl,Handicrafts,Nagaland,,,,,,
302,Mahabalipuram Stone Sculpture,Handicrafts,Tamil Nadu,,,,,,
303,Banglar Rasogolla,Food Stuff,West Bengal,,,,,,
304,Lamphun Brocade Thai Silk,Handicrafts,Thailand,,,,,,
305,Nilambur Teak,Agricultural,Kerala,,,,,,
306,Bankura Panchmura Terracotta Craft,Handicraft,West Bengal,,,,,,
307,Pokaran Pottery,Handicraft,Rajasthan,,,,,,
308,Adilabad Dokra,Handicraft,Telangana,,,,,,
309,Warangal Durries,Handicraft,Telangana,,,,,,
310,Allagadda Stone Carving,Handicraft,Andhra Pradesh,,,,,,
311,Bhagalpuri Zardalu,Agricultural,Bihar,,,,,,
